timestamp,online_load,batch_load,price,carbon,outdoor_temp,renewable
2026-01-01 11:45,0.76,0.37,0.58,462,25.4,0.48
2026-01-01 12:00,0.78,0.38,0.60,460,25.6,0.50
2026-01-01 12:15,0.79,0.38,0.62,462,25.8,0.48
2026-01-01 12:30,0.80,0.39,0.64,466,26.0,0.46
2026-01-01 12:45,0.80,0.39,0.66,470,26.2,0.44
2026-01-01 13:00,0.79,0.38,0.68,476,26.3,0.42
2026-01-01 13:15,0.78,0.37,0.70,482,26.4,0.40
2026-01-01 13:30,0.77,0.36,0.72,488,26.3,0.38
2026-01-01 13:45,0.76,0.35,0.74,496,26.2,0.36
2026-01-01 14:00,0.75,0.35,0.76,505,26.0,0.34
2026-01-01 14:15,0.74,0.34,0.78,515,25.8,0.32
2026-01-01 14:30,0.73,0.33,0.80,528,25.5,0.30
2026-01-01 14:45,0.72,0.33,0.82,540,25.2,0.28
2026-01-01 15:00,0.72,0.33,0.84,555,24.8,0.26
2026-01-01 15:15,0.73,0.34,0.86,570,24.4,0.24
2026-01-01 15:30,0.74,0.35,0.88,585,24.0,0.22
2026-01-01 15:45,0.75,0.36,0.90,600,23.6,0.20
2026-01-01 16:00,0.77,0.38,0.92,620,23.2,0.18
2026-01-01 16:15,0.79,0.39,0.94,640,22.8,0.16
2026-01-01 16:30,0.81,0.40,0.96,660,22.4,0.14
2026-01-01 16:45,0.82,0.41,0.98,680,22.0,0.12
2026-01-01 17:00,0.83,0.42,1.00,700,21.5,0.10
2026-01-01 17:15,0.82,0.41,0.98,690,21.0,0.08
2026-01-01 17:30,0.81,0.40,0.96,675,20.5,0.06
2026-01-01 17:45,0.79,0.39,0.94,660,20.0,0.04
2026-01-01 18:00,0.76,0.37,0.88,640,19.4,0.02
2026-01-01 18:15,0.72,0.35,0.82,620,18.8,0.00
2026-01-01 18:30,0.68,0.33,0.76,600,18.2,0.00
2026-01-01 18:45,0.64,0.31,0.70,580,17.6,0.00
2026-01-01 19:00,0.60,0.29,0.62,560,17.0,0.00
2026-01-01 19:15,0.56,0.27,0.56,545,16.4,0.00
2026-01-01 19:30,0.52,0.25,0.50,530,15.8,0.00
2026-01-01 19:45,0.49,0.24,0.46,520,15.2,0.00
2026-01-01 20:00,0.46,0.24,0.42,510,14.6,0.00
2026-01-01 20:15,0.44,0.23,0.40,505,14.0,0.00
2026-01-01 20:30,0.42,0.23,0.38,500,13.4,0.00
2026-01-01 20:45,0.40,0.22,0.36,496,12.8,0.00
2026-01-01 21:00,0.38,0.22,0.35,492,12.2,0.00
2026-01-01 21:15,0.36,0.21,0.34,488,11.6,0.00
2026-01-01 21:30,0.35,0.21,0.33,486,11.0,0.00
2026-01-01 21:45,0.34,0.20,0.32,484,10.4,0.00
2026-01-01 22:00,0.33,0.20,0.32,482,9.8,0.00
2026-01-01 22:15,0.32,0.20,0.31,480,9.2,0.00
2026-01-01 22:30,0.32,0.19,0.31,478,8.6,0.00
2026-01-01 22:45,0.31,0.19,0.30,476,8.0,0.00
2026-01-01 23:00,0.31,0.19,0.30,474,7.4,0.00
2026-01-01 23:15,0.30,0.18,0.30,472,6.8,0.00
2026-01-01 23:30,0.30,0.18,0.29,470,6.4,0.00
2026-01-01 23:45,0.29,0.18,0.29,468,6.0,0.00

