episode_id,seed,scenario,split,environment_start,steps,task_decisions,teacher_solver_failures,h1_solver_failures,teacher_solve_ms_mean,teacher_solve_ms_p95,h1_solve_ms_mean,h1_solve_ms_p95,oracle_warning_count
high_load_trace__seed_3040,3040,high_load_trace,validation,2023-02-13T00:00:00+00:00,96,3471,0,0,3.6093927131635914,8.117350051179528,1.5992687488809072,3.6561000160872936,96
normal_trace__seed_3001,3001,normal_trace,validation,2023-02-17T00:00:00+00:00,96,3027,0,0,3.07678854248176,7.364549994235858,1.2754677118209656,2.3686250497121364,96
normal_trace__seed_3002,3002,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.232750006039472,8.12509999377653,1.3192343649279792,2.6062999677378684,96
normal_trace__seed_3003,3003,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.0982135382752554,7.814500015228987,1.3232854204640414,2.4449500488117337,96
normal_trace__seed_3004,3004,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.0786156276008114,8.108499983791262,1.4472437542281114,2.214874984929338,96
normal_trace__seed_3005,3005,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.090241672907723,7.996950065717101,1.25474374484232,2.308850031113252,96
normal_trace__seed_3006,3006,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.0539114583613505,7.630650012288243,1.3043208370315067,2.4841250269673765,96
normal_trace__seed_3007,3007,normal_trace,test,2023-02-17T00:00:00+00:00,96,3027,0,0,3.3849687485295967,9.007224987726659,1.5992010412446689,4.27482501254417,96
normal_trace__seed_3008,3008,normal_trace,test,2023-02-17T00:00:00+00:00,96,3027,0,0,2.995458327253194,7.442575006280094,1.2528489557250093,2.3067249567247927,96
normal_trace__seed_3009,3009,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.2185822953276024,7.807224930729717,1.3500958327009964,2.255150000564754,96
normal_trace__seed_3010,3010,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.1791541611407106,8.06802508304827,1.3090812475032483,2.581250009825453,96
normal_trace__seed_3011,3011,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.027727081644116,7.443149981554598,1.3748333403782453,2.7113000105600804,96
normal_trace__seed_3012,3012,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6881177074974403,7.816825032932684,1.3312802135866757,2.2624250850640237,96
normal_trace__seed_3013,3013,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.244207298848778,8.434850053163245,1.3883197849888045,2.4802750267554075,96
normal_trace__seed_3014,3014,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.7199927149534537,8.08939998387359,1.3223302072825998,2.444874990032986,96
normal_trace__seed_3015,3015,normal_trace,test,2023-02-17T00:00:00+00:00,96,3027,0,0,3.235216673298661,7.993925071787089,1.28285208241626,2.3861249501351267,96
normal_trace__seed_3016,3016,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.0992947892324687,7.589800050482154,1.2863270821981132,2.3433250025846064,96
normal_trace__seed_3017,3017,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.646233324010003,7.88607491995208,1.2997260370563406,2.440224983729422,96
normal_trace__seed_3018,3018,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.3600520788847157,8.746624982450157,1.5083760348109838,2.9395499732345343,96
normal_trace__seed_3019,3019,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.2585427058317387,8.640875050332397,1.30591980026414,2.785574964946136,96
normal_trace__seed_3020,3020,normal_trace,validation,2023-02-17T00:00:00+00:00,96,3027,0,0,3.207333332587344,7.998299959581345,1.347206254043461,2.6513750199228525,96
normal_trace__seed_3021,3021,normal_trace,test,2023-02-17T00:00:00+00:00,96,3027,0,0,3.9224937451460087,8.83030000841245,1.4127906251815148,2.670774993021041,96
normal_trace__seed_3022,3022,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.84755208263717,8.448149979813024,1.4914843801913473,2.890774980187416,96
normal_trace__seed_3023,3023,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.2602145887115817,8.308225078508258,1.3270989584270865,2.598399994894862,96
normal_trace__seed_3024,3024,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.7381135358979614,8.405874978052452,1.4375031205418054,2.4472999793943018,96
normal_trace__seed_3025,3025,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.046541659083838,7.350899977609515,1.3393416738836095,2.3406249820254743,96
normal_trace__seed_3026,3026,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6617427031160332,7.926799968117848,1.2827406268722068,2.346950030187145,96
normal_trace__seed_3027,3027,normal_trace,validation,2023-02-17T00:00:00+00:00,96,3027,0,0,3.363190626259893,8.976500073913485,1.3502437541319523,2.653375006048009,96
normal_trace__seed_3028,3028,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6371500003345623,8.062774984864518,1.3172833290203319,2.416725066723302,96
normal_trace__seed_3029,3029,normal_trace,validation,2023-02-17T00:00:00+00:00,96,3027,0,0,3.596526039473247,8.102974970825016,1.2523593783650238,2.3147999309003353,96
normal_trace__seed_3030,3030,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6520958310575224,8.527649944880977,1.4621166604532239,2.7264499804005027,96
normal_trace__seed_3031,3031,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.2599312471575104,8.174300048267469,1.3320968646439724,2.4344249977730215,96
normal_trace__seed_3032,3032,normal_trace,validation,2023-02-17T00:00:00+00:00,96,3027,0,0,3.569347912465067,8.342874964000657,1.2660635438805912,2.161850017728284,96
normal_trace__seed_3033,3033,normal_trace,test,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6338208362091486,8.2583999610506,1.371129167334099,2.4512250383850187,96
normal_trace__seed_3034,3034,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.63871457981683,8.121924998704344,1.3545812495673697,2.5270500627812,96
normal_trace__seed_3035,3035,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6686104164497615,8.194650028599426,1.3556062561595656,2.4688250268809497,96
normal_trace__seed_3036,3036,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.636870826691544,8.062200038693845,1.2982802121162724,2.479950024280697,96
normal_trace__seed_3037,3037,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.6691875066026114,8.363550005014986,1.4481760348038126,2.6362000789958984,96
normal_trace__seed_3038,3038,normal_trace,test,2023-02-17T00:00:00+00:00,96,3027,0,0,3.099255212873686,8.191600063582882,1.3451156264636666,2.5410750531591475,96
normal_trace__seed_3039,3039,normal_trace,train,2023-02-17T00:00:00+00:00,96,3027,0,0,3.7863000070501585,8.4977499791421,1.4403833338292316,2.541525027481839,96
normal_trace__seed_3040,3040,normal_trace,validation,2023-02-17T00:00:00+00:00,96,3027,0,0,4.612133330131958,9.086324978852645,1.5955072897971452,3.9695999585092068,96
