task_id,arrival_time,duration_steps,cpu_cores,gpu_units,memory_gb,deadline_time,priority,deferrable
task-00066,2026-01-01T08:15:00+08:00,1,80.0,0.0,32.0,2026-01-01T11:30:00+08:00,1,True
task-00067,2026-01-01T08:15:00+08:00,1,160.0,0.0,96.0,2026-01-01T10:00:00+08:00,2,True
task-00068,2026-01-01T08:30:00+08:00,1,20.0,8.0,192.0,2026-01-01T10:15:00+08:00,5,True
task-00069,2026-01-01T08:30:00+08:00,2,80.0,8.0,192.0,2026-01-01T09:15:00+08:00,1,True
task-00070,2026-01-01T08:30:00+08:00,6,120.0,0.0,32.0,2026-01-01T10:00:00+08:00,5,False
task-00071,2026-01-01T08:45:00+08:00,1,40.0,0.0,128.0,2026-01-01T09:45:00+08:00,2,True
task-00072,2026-01-01T09:00:00+08:00,3,120.0,0.0,64.0,2026-01-01T10:00:00+08:00,3,True
task-00073,2026-01-01T09:00:00+08:00,1,20.0,0.0,256.0,2026-01-01T09:45:00+08:00,1,True
task-00074,2026-01-01T09:00:00+08:00,2,80.0,16.0,256.0,2026-01-01T09:45:00+08:00,5,False
task-00075,2026-01-01T09:00:00+08:00,1,60.0,0.0,128.0,2026-01-01T09:30:00+08:00,3,True
task-00076,2026-01-01T09:15:00+08:00,3,20.0,0.0,32.0,2026-01-01T10:45:00+08:00,2,True
task-00077,2026-01-01T09:15:00+08:00,3,120.0,16.0,256.0,2026-01-01T10:45:00+08:00,0,True
task-00078,2026-01-01T09:30:00+08:00,4,160.0,8.0,192.0,2026-01-01T10:45:00+08:00,5,True
task-00079,2026-01-01T09:30:00+08:00,1,80.0,0.0,256.0,2026-01-01T09:45:00+08:00,3,False
task-00080,2026-01-01T09:30:00+08:00,1,120.0,0.0,256.0,2026-01-01T11:15:00+08:00,0,True
task-00081,2026-01-01T09:30:00+08:00,4,40.0,0.0,96.0,2026-01-01T10:30:00+08:00,0,False
task-00082,2026-01-01T09:45:00+08:00,2,60.0,4.0,32.0,2026-01-01T11:00:00+08:00,4,True
task-00083,2026-01-01T09:45:00+08:00,2,60.0,0.0,32.0,2026-01-01T10:45:00+08:00,4,False
task-00084,2026-01-01T09:45:00+08:00,2,120.0,0.0,96.0,2026-01-01T13:15:00+08:00,3,True
task-00085,2026-01-01T09:45:00+08:00,2,120.0,16.0,256.0,2026-01-01T10:30:00+08:00,3,True
task-00086,2026-01-01T10:00:00+08:00,1,120.0,0.0,32.0,2026-01-01T10:45:00+08:00,4,True
task-00087,2026-01-01T10:00:00+08:00,1,40.0,0.0,128.0,2026-01-01T11:00:00+08:00,5,True
task-00088,2026-01-01T10:00:00+08:00,2,20.0,0.0,256.0,2026-01-01T12:30:00+08:00,0,True
task-00089,2026-01-01T10:00:00+08:00,1,160.0,12.0,96.0,2026-01-01T13:15:00+08:00,0,True
task-00090,2026-01-01T10:00:00+08:00,1,160.0,0.0,256.0,2026-01-01T13:15:00+08:00,5,True
task-00091,2026-01-01T10:00:00+08:00,2,40.0,0.0,256.0,2026-01-01T11:30:00+08:00,1,True
task-00092,2026-01-01T10:00:00+08:00,6,80.0,4.0,96.0,2026-01-01T13:30:00+08:00,4,True
task-00093,2026-01-01T10:00:00+08:00,2,160.0,0.0,192.0,2026-01-01T11:00:00+08:00,5,True
task-00094,2026-01-01T10:15:00+08:00,6,40.0,12.0,192.0,2026-01-01T12:45:00+08:00,0,True
task-00095,2026-01-01T10:15:00+08:00,1,80.0,4.0,96.0,2026-01-01T13:30:00+08:00,0,True
task-00096,2026-01-01T10:15:00+08:00,1,40.0,0.0,96.0,2026-01-01T11:15:00+08:00,5,True
task-00097,2026-01-01T10:15:00+08:00,3,20.0,0.0,64.0,2026-01-01T11:30:00+08:00,0,False
task-00098,2026-01-01T10:15:00+08:00,3,60.0,0.0,64.0,2026-01-01T11:30:00+08:00,4,False
task-00099,2026-01-01T10:15:00+08:00,2,80.0,0.0,128.0,2026-01-01T11:00:00+08:00,4,True
task-00100,2026-01-01T10:30:00+08:00,2,120.0,0.0,192.0,2026-01-01T14:00:00+08:00,0,True
task-00101,2026-01-01T10:30:00+08:00,2,60.0,0.0,64.0,2026-01-01T11:00:00+08:00,4,False
task-00102,2026-01-01T10:30:00+08:00,4,120.0,0.0,64.0,2026-01-01T12:30:00+08:00,2,True
task-00103,2026-01-01T10:30:00+08:00,3,120.0,16.0,32.0,2026-01-01T14:15:00+08:00,3,True
task-00104,2026-01-01T10:30:00+08:00,1,160.0,0.0,256.0,2026-01-01T11:00:00+08:00,5,True
task-00105,2026-01-01T10:30:00+08:00,2,120.0,0.0,32.0,2026-01-01T11:15:00+08:00,2,False
task-00106,2026-01-01T10:45:00+08:00,2,20.0,12.0,64.0,2026-01-01T14:15:00+08:00,5,True
task-00107,2026-01-01T10:45:00+08:00,4,20.0,16.0,96.0,2026-01-01T14:45:00+08:00,4,True
task-00108,2026-01-01T10:45:00+08:00,2,40.0,0.0,64.0,2026-01-01T14:15:00+08:00,5,True
task-00109,2026-01-01T11:00:00+08:00,2,160.0,12.0,256.0,2026-01-01T12:00:00+08:00,5,False
task-00110,2026-01-01T11:00:00+08:00,2,120.0,0.0,64.0,2026-01-01T13:00:00+08:00,1,True
task-00111,2026-01-01T11:00:00+08:00,1,80.0,8.0,192.0,2026-01-01T11:15:00+08:00,2,False
task-00112,2026-01-01T11:00:00+08:00,1,120.0,0.0,192.0,2026-01-01T12:15:00+08:00,3,True
task-00113,2026-01-01T11:00:00+08:00,2,160.0,0.0,32.0,2026-01-01T12:30:00+08:00,2,True
task-00114,2026-01-01T11:00:00+08:00,6,60.0,12.0,96.0,2026-01-01T14:30:00+08:00,1,True
task-00115,2026-01-01T11:00:00+08:00,4,40.0,0.0,192.0,2026-01-01T15:00:00+08:00,4,True
task-00116,2026-01-01T11:15:00+08:00,4,60.0,0.0,192.0,2026-01-01T12:15:00+08:00,5,False
task-00117,2026-01-01T11:15:00+08:00,2,160.0,0.0,128.0,2026-01-01T13:15:00+08:00,0,True
task-00118,2026-01-01T11:30:00+08:00,6,120.0,0.0,32.0,2026-01-01T14:30:00+08:00,2,True
task-00119,2026-01-01T11:30:00+08:00,1,80.0,0.0,128.0,2026-01-01T12:30:00+08:00,5,True
task-00120,2026-01-01T11:30:00+08:00,4,120.0,0.0,64.0,2026-01-01T15:30:00+08:00,0,True
task-00121,2026-01-01T11:45:00+08:00,3,120.0,8.0,32.0,2026-01-01T13:15:00+08:00,2,True
task-00122,2026-01-01T11:45:00+08:00,6,20.0,16.0,64.0,2026-01-01T14:00:00+08:00,0,True
task-00123,2026-01-01T11:45:00+08:00,1,80.0,0.0,128.0,2026-01-01T15:00:00+08:00,0,True
task-00124,2026-01-01T11:45:00+08:00,2,160.0,0.0,256.0,2026-01-01T12:30:00+08:00,4,False
task-00125,2026-01-01T12:00:00+08:00,4,60.0,0.0,256.0,2026-01-01T13:45:00+08:00,4,True
task-00126,2026-01-01T12:00:00+08:00,1,160.0,0.0,64.0,2026-01-01T13:15:00+08:00,3,True
task-00127,2026-01-01T12:15:00+08:00,6,20.0,0.0,256.0,2026-01-01T15:45:00+08:00,3,True
task-00128,2026-01-01T12:15:00+08:00,1,40.0,0.0,96.0,2026-01-01T13:30:00+08:00,5,True
task-00129,2026-01-01T12:15:00+08:00,2,60.0,0.0,256.0,2026-01-01T15:45:00+08:00,4,True
task-00130,2026-01-01T12:30:00+08:00,2,20.0,0.0,128.0,2026-01-01T14:00:00+08:00,3,True
task-00131,2026-01-01T12:30:00+08:00,1,60.0,0.0,192.0,2026-01-01T13:45:00+08:00,4,True
task-00132,2026-01-01T12:30:00+08:00,6,40.0,4.0,192.0,2026-01-01T15:00:00+08:00,4,True
task-00133,2026-01-01T12:30:00+08:00,1,40.0,0.0,192.0,2026-01-01T13:45:00+08:00,5,True
task-00134,2026-01-01T12:30:00+08:00,4,160.0,0.0,256.0,2026-01-01T15:00:00+08:00,5,True
task-00135,2026-01-01T12:30:00+08:00,2,40.0,0.0,96.0,2026-01-01T13:00:00+08:00,4,False
task-00136,2026-01-01T12:45:00+08:00,4,40.0,0.0,32.0,2026-01-01T14:45:00+08:00,2,True
task-00137,2026-01-01T12:45:00+08:00,6,160.0,0.0,192.0,2026-01-01T15:00:00+08:00,1,True
task-00138,2026-01-01T12:45:00+08:00,2,120.0,0.0,64.0,2026-01-01T13:45:00+08:00,0,False
task-00139,2026-01-01T12:45:00+08:00,1,20.0,0.0,256.0,2026-01-01T14:30:00+08:00,4,True
task-00140,2026-01-01T12:45:00+08:00,3,20.0,0.0,32.0,2026-01-01T13:30:00+08:00,4,False
task-00141,2026-01-01T13:00:00+08:00,2,160.0,0.0,96.0,2026-01-01T14:30:00+08:00,5,True
task-00142,2026-01-01T13:00:00+08:00,2,120.0,0.0,256.0,2026-01-01T14:15:00+08:00,2,True
task-00143,2026-01-01T13:00:00+08:00,1,80.0,0.0,256.0,2026-01-01T13:30:00+08:00,1,False
task-00144,2026-01-01T13:00:00+08:00,3,60.0,0.0,32.0,2026-01-01T16:45:00+08:00,0,True
task-00145,2026-01-01T13:15:00+08:00,4,80.0,0.0,32.0,2026-01-01T14:30:00+08:00,3,True
task-00146,2026-01-01T13:15:00+08:00,1,20.0,0.0,96.0,2026-01-01T15:30:00+08:00,5,True
task-00147,2026-01-01T13:15:00+08:00,4,40.0,0.0,256.0,2026-01-01T14:45:00+08:00,4,True
task-00148,2026-01-01T13:15:00+08:00,2,80.0,0.0,128.0,2026-01-01T14:30:00+08:00,3,True
task-00149,2026-01-01T13:15:00+08:00,2,160.0,0.0,256.0,2026-01-01T15:45:00+08:00,4,True
task-00150,2026-01-01T13:30:00+08:00,6,60.0,0.0,32.0,2026-01-01T17:00:00+08:00,2,True
task-00151,2026-01-01T13:30:00+08:00,2,20.0,0.0,192.0,2026-01-01T14:30:00+08:00,3,True
task-00152,2026-01-01T13:30:00+08:00,2,80.0,0.0,64.0,2026-01-01T14:00:00+08:00,5,False
task-00153,2026-01-01T13:30:00+08:00,3,120.0,0.0,32.0,2026-01-01T15:00:00+08:00,2,True
task-00154,2026-01-01T13:30:00+08:00,6,20.0,0.0,128.0,2026-01-01T15:30:00+08:00,0,True
task-00155,2026-01-01T13:30:00+08:00,6,80.0,4.0,96.0,2026-01-01T16:30:00+08:00,4,True
task-00156,2026-01-01T13:30:00+08:00,4,160.0,8.0,64.0,2026-01-01T16:00:00+08:00,2,True
task-00157,2026-01-01T13:45:00+08:00,1,40.0,4.0,96.0,2026-01-01T14:30:00+08:00,5,False
task-00158,2026-01-01T13:45:00+08:00,1,60.0,12.0,32.0,2026-01-01T15:30:00+08:00,3,True
task-00159,2026-01-01T13:45:00+08:00,6,20.0,0.0,128.0,2026-01-01T17:15:00+08:00,5,True
task-00160,2026-01-01T13:45:00+08:00,1,20.0,16.0,256.0,2026-01-01T14:00:00+08:00,4,False
task-00161,2026-01-01T13:45:00+08:00,1,60.0,0.0,192.0,2026-01-01T14:45:00+08:00,0,True
task-00162,2026-01-01T13:45:00+08:00,2,60.0,0.0,64.0,2026-01-01T15:00:00+08:00,5,True
task-00163,2026-01-01T14:00:00+08:00,4,80.0,16.0,192.0,2026-01-01T15:45:00+08:00,0,True
task-00164,2026-01-01T14:15:00+08:00,3,120.0,0.0,32.0,2026-01-01T15:45:00+08:00,5,True
task-00165,2026-01-01T14:15:00+08:00,2,40.0,0.0,64.0,2026-01-01T17:45:00+08:00,2,True
task-00166,2026-01-01T14:15:00+08:00,4,120.0,12.0,96.0,2026-01-01T15:45:00+08:00,4,False
task-00167,2026-01-01T14:15:00+08:00,1,80.0,0.0,192.0,2026-01-01T14:45:00+08:00,4,False
task-00168,2026-01-01T14:30:00+08:00,2,20.0,0.0,128.0,2026-01-01T17:00:00+08:00,0,True
task-00169,2026-01-01T14:30:00+08:00,2,40.0,0.0,96.0,2026-01-01T15:45:00+08:00,3,True
task-00170,2026-01-01T14:30:00+08:00,1,120.0,16.0,256.0,2026-01-01T15:15:00+08:00,5,True
task-00171,2026-01-01T14:30:00+08:00,2,80.0,12.0,64.0,2026-01-01T15:00:00+08:00,3,False
task-00172,2026-01-01T14:45:00+08:00,4,20.0,0.0,64.0,2026-01-01T17:15:00+08:00,4,True
task-00173,2026-01-01T14:45:00+08:00,4,120.0,4.0,96.0,2026-01-01T16:00:00+08:00,1,False
task-00174,2026-01-01T14:45:00+08:00,6,20.0,0.0,128.0,2026-01-01T16:45:00+08:00,5,True
task-00175,2026-01-01T15:00:00+08:00,1,160.0,8.0,128.0,2026-01-01T16:15:00+08:00,2,True
task-00176,2026-01-01T15:00:00+08:00,2,120.0,0.0,192.0,2026-01-01T16:00:00+08:00,4,True
task-00177,2026-01-01T15:00:00+08:00,4,40.0,0.0,192.0,2026-01-01T16:15:00+08:00,4,True
task-00178,2026-01-01T15:00:00+08:00,4,60.0,0.0,128.0,2026-01-01T16:00:00+08:00,3,False
task-00179,2026-01-01T15:00:00+08:00,3,160.0,16.0,32.0,2026-01-01T16:15:00+08:00,4,True
task-00180,2026-01-01T15:15:00+08:00,2,20.0,4.0,96.0,2026-01-01T18:45:00+08:00,3,True
task-00181,2026-01-01T15:15:00+08:00,2,20.0,4.0,192.0,2026-01-01T17:15:00+08:00,3,True
task-00182,2026-01-01T15:30:00+08:00,2,60.0,8.0,96.0,2026-01-01T16:30:00+08:00,4,False
task-00183,2026-01-01T15:30:00+08:00,4,80.0,12.0,32.0,2026-01-01T18:30:00+08:00,1,True
task-00184,2026-01-01T15:30:00+08:00,6,60.0,0.0,128.0,2026-01-01T17:30:00+08:00,0,True
task-00185,2026-01-01T15:30:00+08:00,4,40.0,0.0,128.0,2026-01-01T19:30:00+08:00,4,True
task-00186,2026-01-01T15:30:00+08:00,2,60.0,0.0,192.0,2026-01-01T16:15:00+08:00,0,True
task-00187,2026-01-01T15:45:00+08:00,2,40.0,0.0,256.0,2026-01-01T16:15:00+08:00,2,False
task-00188,2026-01-01T15:45:00+08:00,2,80.0,0.0,128.0,2026-01-01T18:15:00+08:00,5,True
task-00189,2026-01-01T15:45:00+08:00,6,80.0,0.0,128.0,2026-01-01T19:15:00+08:00,3,True
task-00190,2026-01-01T15:45:00+08:00,1,80.0,0.0,192.0,2026-01-01T16:15:00+08:00,1,True
task-00191,2026-01-01T16:00:00+08:00,2,60.0,0.0,192.0,2026-01-01T17:15:00+08:00,4,True
task-00192,2026-01-01T16:00:00+08:00,2,40.0,0.0,192.0,2026-01-01T18:30:00+08:00,4,True
task-00193,2026-01-01T16:00:00+08:00,4,40.0,16.0,128.0,2026-01-01T17:15:00+08:00,2,False
task-00194,2026-01-01T16:00:00+08:00,3,40.0,4.0,32.0,2026-01-01T16:45:00+08:00,1,False
task-00195,2026-01-01T16:00:00+08:00,6,40.0,0.0,256.0,2026-01-01T18:00:00+08:00,0,False
task-00196,2026-01-01T16:15:00+08:00,3,20.0,0.0,128.0,2026-01-01T17:15:00+08:00,1,False
task-00197,2026-01-01T16:15:00+08:00,3,120.0,4.0,96.0,2026-01-01T17:15:00+08:00,3,True
task-00198,2026-01-01T16:15:00+08:00,4,160.0,8.0,192.0,2026-01-01T18:00:00+08:00,0,True
task-00199,2026-01-01T16:15:00+08:00,2,60.0,16.0,192.0,2026-01-01T17:00:00+08:00,0,False
task-00200,2026-01-01T16:15:00+08:00,4,60.0,0.0,192.0,2026-01-01T17:15:00+08:00,4,False
task-00201,2026-01-01T16:30:00+08:00,1,160.0,12.0,192.0,2026-01-01T17:30:00+08:00,4,True
task-00202,2026-01-01T16:30:00+08:00,6,60.0,0.0,128.0,2026-01-01T18:00:00+08:00,0,False
task-00203,2026-01-01T16:30:00+08:00,1,20.0,12.0,64.0,2026-01-01T17:30:00+08:00,1,True
task-00204,2026-01-01T16:30:00+08:00,3,120.0,16.0,192.0,2026-01-01T17:45:00+08:00,3,True
task-00205,2026-01-01T16:30:00+08:00,2,120.0,0.0,32.0,2026-01-01T17:15:00+08:00,5,True
task-00206,2026-01-01T16:45:00+08:00,1,20.0,0.0,64.0,2026-01-01T17:15:00+08:00,3,True
task-00207,2026-01-01T16:45:00+08:00,1,120.0,0.0,256.0,2026-01-01T20:00:00+08:00,2,True
task-00208,2026-01-01T16:45:00+08:00,6,160.0,0.0,96.0,2026-01-01T18:15:00+08:00,2,False
task-00209,2026-01-01T16:45:00+08:00,1,80.0,0.0,96.0,2026-01-01T17:30:00+08:00,2,True
task-00210,2026-01-01T16:45:00+08:00,3,40.0,16.0,256.0,2026-01-01T18:30:00+08:00,5,True
task-00211,2026-01-01T17:00:00+08:00,2,160.0,16.0,32.0,2026-01-01T18:15:00+08:00,2,True
task-00212,2026-01-01T17:00:00+08:00,2,20.0,0.0,32.0,2026-01-01T17:30:00+08:00,2,False
task-00213,2026-01-01T17:00:00+08:00,2,120.0,0.0,64.0,2026-01-01T17:30:00+08:00,4,False
task-00214,2026-01-01T17:00:00+08:00,1,20.0,0.0,256.0,2026-01-01T18:00:00+08:00,4,True
task-00215,2026-01-01T17:00:00+08:00,3,120.0,8.0,96.0,2026-01-01T20:45:00+08:00,1,True
task-00216,2026-01-01T17:15:00+08:00,2,40.0,0.0,96.0,2026-01-01T19:15:00+08:00,2,True
task-00217,2026-01-01T17:15:00+08:00,1,160.0,0.0,128.0,2026-01-01T18:15:00+08:00,5,True
task-00218,2026-01-01T17:15:00+08:00,6,160.0,0.0,256.0,2026-01-01T21:45:00+08:00,5,True
task-00219,2026-01-01T17:30:00+08:00,6,20.0,0.0,256.0,2026-01-01T21:00:00+08:00,1,True
task-00220,2026-01-01T17:30:00+08:00,6,160.0,0.0,96.0,2026-01-01T19:30:00+08:00,3,True
task-00221,2026-01-01T17:30:00+08:00,4,40.0,0.0,96.0,2026-01-01T20:30:00+08:00,1,True
task-00222,2026-01-01T17:45:00+08:00,1,160.0,8.0,192.0,2026-01-01T19:00:00+08:00,3,True
task-00223,2026-01-01T17:45:00+08:00,2,80.0,16.0,128.0,2026-01-01T19:00:00+08:00,0,True
task-00224,2026-01-01T17:45:00+08:00,2,40.0,12.0,32.0,2026-01-01T19:45:00+08:00,2,True
task-00225,2026-01-01T17:45:00+08:00,4,80.0,0.0,192.0,2026-01-01T18:45:00+08:00,3,False
task-00226,2026-01-01T17:45:00+08:00,1,40.0,4.0,32.0,2026-01-01T18:30:00+08:00,0,True
task-00227,2026-01-01T18:00:00+08:00,1,60.0,0.0,192.0,2026-01-01T19:00:00+08:00,3,True
task-00228,2026-01-01T18:00:00+08:00,4,160.0,4.0,128.0,2026-01-01T19:15:00+08:00,1,True
task-00229,2026-01-01T18:00:00+08:00,1,160.0,4.0,64.0,2026-01-01T18:30:00+08:00,4,True
task-00230,2026-01-01T18:15:00+08:00,4,40.0,0.0,96.0,2026-01-01T19:30:00+08:00,4,True
task-00231,2026-01-01T18:15:00+08:00,4,80.0,0.0,64.0,2026-01-01T22:15:00+08:00,5,True
task-00232,2026-01-01T18:15:00+08:00,2,120.0,12.0,256.0,2026-01-01T21:45:00+08:00,0,True
task-00233,2026-01-01T18:15:00+08:00,1,20.0,0.0,32.0,2026-01-01T19:00:00+08:00,4,True
task-00234,2026-01-01T18:30:00+08:00,3,40.0,0.0,32.0,2026-01-01T20:45:00+08:00,0,True
task-00235,2026-01-01T18:30:00+08:00,1,40.0,4.0,96.0,2026-01-01T19:15:00+08:00,1,True
task-00236,2026-01-01T18:30:00+08:00,2,20.0,0.0,96.0,2026-01-01T20:00:00+08:00,4,True
task-00237,2026-01-01T18:30:00+08:00,1,40.0,0.0,96.0,2026-01-01T20:45:00+08:00,0,True
task-00238,2026-01-01T18:30:00+08:00,1,60.0,8.0,192.0,2026-01-01T19:00:00+08:00,3,True
task-00239,2026-01-01T18:45:00+08:00,2,80.0,0.0,128.0,2026-01-01T19:15:00+08:00,0,False
task-00240,2026-01-01T18:45:00+08:00,1,120.0,0.0,32.0,2026-01-01T22:00:00+08:00,0,True
task-00241,2026-01-01T18:45:00+08:00,2,20.0,8.0,32.0,2026-01-01T19:30:00+08:00,3,True
task-00242,2026-01-01T18:45:00+08:00,1,160.0,0.0,192.0,2026-01-01T20:00:00+08:00,1,True
task-00243,2026-01-01T18:45:00+08:00,3,20.0,0.0,192.0,2026-01-01T21:30:00+08:00,1,True
